,reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
28,16,1,186,2702.8125,NA,NA,NA,20190521,field,boat,NA,NA,transect tape,SF,NA
29,16,2,188.4,2773.0125,60,NA,NA,20190521,field,boat,NA,NA,transect tape,SF,NA
30,16,3,178.98,2502.643781,NA,57,NA,20190521,field,boat,NA,NA,transect tape,SF,NA
31,16,1,197,3017,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
32,16,2,198,3025,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
33,16,3,197,2989,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
34,16,1,207,3284,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
35,16,2,207,3297,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
36,16,3,207,3345,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
37,16,1,200,3084,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
38,16,2,198,3034,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
39,16,3,192,2849,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
40,16,1,199,3035,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
41,16,2,217,3614,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
42,16,3,194,2884,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
43,16,1,150.53,1630,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
44,16,2,211.26,3380,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
45,16,3,214.73,3720,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
46,16,1,114.41,3701,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
47,16,2,200.7,3170,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
48,16,3,217,3480,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
49,16,1,287.33,7050,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
50,16,2,286.2,6010,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
51,16,3,285.19,6240,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
52,16,1,391.79,13220,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
53,16,2,317.5,6170,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
54,16,3,346.4,1074,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
55,12,1,416,13346,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
56,12,2,418,13497,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
57,12,3,416,13414,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
58,12,1,392,11827,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
59,12,2,399,12215,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
60,12,3,383,11461,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
61,12,1,371,10659,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
62,12,2,368,10541,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
63,12,3,370,10621,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
64,12,1,381,11278,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
65,12,2,392,11951,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
66,12,3,388,11651,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
67,12,1,393.57,12800,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
68,12,2,420.46,12720,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
69,12,3,413.75,12710,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
70,12,1,373.8,11940,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
71,12,2,401,12480,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
72,12,3,395.25,11440,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
73,12,1,444.7,15350,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
74,12,2,403.45,13140,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
75,12,3,434.11,12990,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
76,12,1,498.53,21650,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
77,12,2,506.24,17150,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
78,12,3,518.38,21180,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,12,1,363.5,10533,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
83,12,2,368.5,10823,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
84,12,3,369.8,10902,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
85,12,1,354.6,10024,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
86,12,2,348,9655,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
87,12,3,372.4,11061,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
88,12,1,363.4,10528,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
89,12,2,366,10680,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
90,12,3,361.8,10439,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
91,12,1,365,10627,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
92,12,2,375.6,11248,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
93,12,3,365.3,10642,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
94,12,1,356.1,10470,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
95,12,2,360.6,10220,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
96,12,3,359,10380,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
97,12,1,361.6,10360,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
98,12,2,359,10600,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
99,12,3,352,10390,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
100,12,1,390,11920,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
101,12,2,358,10420,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
102,12,3,402,10000,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
103,12,1,407,11620,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
104,12,2,400,13100,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
105,12,3,390,12400,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
106,16,1,178.8,2545.33758,NA,NA,0,NA,field,boat,NA,NA,transect tape,ASL,NA
107,16,2,185.574,2741.85585,59.1,NA,0,NA,field,boat,NA,NA,transect tape,ASL,NA
108,16,3,176.468,2479.3754,NA,56.2,0,NA,field,boat,NA,NA,transect tape,ASL,NA
109,16,1,181,2614,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
110,16,2,190,2907,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
111,16,3,185.6,2745,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
112,16,1,198,3127,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
113,16,2,201.7,3244,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
114,16,3,187,2793,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
115,16,1,174.5,2427,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
116,16,2,184.5,2716,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
117,16,3,183.4,2680,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
118,16,1,185.6,2747,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
119,16,2,192,2952,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
120,16,3,193,2975,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
121,16,1,170,2680,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
122,16,2,177.4,2470,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
123,16,3,182.6,2710,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
124,16,1,175,2470,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
125,16,2,177,2280,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
126,16,3,181,2620,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
127,16,1,195,2330,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
128,16,2,200,2100,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
129,16,3,191,2460,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
130,16,1,205,4000,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
131,16,2,178,3000,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
132,16,3,193,2320,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
133,19,1,103.8,857.8375796,NA,NA,0,NA,field,boat,NA,NA,transect tape,ASL,NA
134,19,2,94.2,706.5,30,NA,0,NA,field,boat,NA,NA,transect tape,ASL,NA
135,19,3,103.62,854.865,NA,33,0,NA,field,boat,NA,NA,transect tape,ASL,NA
136,19,1,108.6,941,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
137,19,2,109.43,955,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
138,19,3,106,897,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,ASL,NA
139,19,1,104.9,876.9,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
140,19,2,106.2,899,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
141,19,3,110.9,979,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",ASL,NA
142,19,1,107.4,919,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
143,19,2,108.6,940,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
144,19,3,102.47,838,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,ASL,NA
145,19,1,123.8,1222,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
146,19,2,118.8,1125,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
147,19,3,117.9,1108,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),ASL,NA
148,19,1,126.2,1440,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
149,19,2,117.3,1760,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
150,19,3,117.6,1030,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),ASL,NA
151,19,1,146.3,1250,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
152,19,2,107.4,1130,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
153,19,3,98,1220,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,ASL,NA
154,19,1,110,733,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
155,19,2,99,926,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
156,19,3,94,1050,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,ASL,NA
157,19,1,120,1147,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
158,19,2,115,1053,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
159,19,3,90,645,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,ASL,NA
160,19,1,116,1028,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
161,19,2,114,1011,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
162,19,3,115,1020,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
163,19,1,119,1086,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
164,19,2,122,1156,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
165,19,3,109,945,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
166,19,1,110,926,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
167,19,2,109,923,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
168,19,3,114,1007,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
169,19,1,119,1106,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
170,19,2,112,986,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
171,19,3,122,1159,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
172,19,1,150,1850,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
173,19,2,150,1850,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
174,19,3,144,1610,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
175,19,1,124,1210,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,NA
176,19,2,126,1170,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,NA
177,19,3,129,1230,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,NA
178,19,1,110,897,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,NA
179,19,2,122,1040,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,NA
180,19,3,118,1050,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,NA
181,19,1,172,2000,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,NA
182,19,2,232,3800,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,NA
183,19,3,211,3350,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,NA
184,16,1,197,2916,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
185,16,2,193,2871,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
186,16,3,196,2944,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
187,16,1,194,2890,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
188,16,2,199,3072,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
189,16,3,200,3115,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
190,16,1,189,2777,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
191,16,2,190,2785,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
192,16,3,190,2819,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
193,16,1,192,2865,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
194,16,2,192,2826,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
195,16,3,191,2812,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
196,16,1,181,2970,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
197,16,2,193,2790,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
198,16,3,215,3420,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
199,16,1,207,3360,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,NA
200,16,2,210,3310,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,NA
201,16,3,229,4040,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,AC,NA
202,16,1,317,7530,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,NA
203,16,2,259,4940,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,NA
204,16,3,267,5400,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,AC,NA
205,16,1,225,3740,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,NA
206,16,2,351,9300,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,NA
207,16,3,294,6560,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,AC,NA
208,12,1,387,11446,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
209,12,2,382,11322,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
210,12,3,381,11203,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,AC,NA
211,12,1,371,10561,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
212,12,2,375,10390,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
213,12,3,378,11017,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",AC,NA
214,12,1,372,10675,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
215,12,2,372,11655,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
216,12,3,365,10321,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,AC,NA
217,12,1,374,10852,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
218,12,2,383,11418,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
219,12,3,384,11347,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),AC,NA
220,12,1,383,11180,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
221,12,2,396,12100,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),AC,NA
